zone,date,description,score_key,value
la-msa,2021-01-17,pop_asiapacific,C000_P_c45_AM_autoN_fareY,111081.19
la-msa,2021-02-21,pop_asiapacific,C000_P_c45_AM_autoN_fareY,101463.88
la-msa,2021-07-11,pop_asiapacific,C000_P_c45_AM_autoN_fareY,119254.55
la-msa,2021-09-12,pop_asiapacific,C000_P_c45_AM_autoN_fareY,122975.45
la-msa,2020-02-23,pop_black,C000_P_c45_AM_autoN_fareY,139640.42
la-msa,2020-03-15,pop_black,C000_P_c45_AM_autoN_fareY,141460.3
la-msa,2020-04-19,pop_black,C000_P_c45_AM_autoN_fareY,142165.97
la-msa,2020-05-10,pop_black,C000_P_c45_AM_autoN_fareY,136692.14
la-msa,2020-06-21,pop_black,C000_P_c45_AM_autoN_fareY,134085.22
la-msa,2020-07-19,pop_black,C000_P_c45_AM_autoN_fareY,122264.15
la-msa,2020-08-16,pop_black,C000_P_c45_AM_autoN_fareY,143059.08
la-msa,2020-09-20,pop_black,C000_P_c45_AM_autoN_fareY,139599.55
la-msa,2020-10-18,pop_black,C000_P_c45_AM_autoN_fareY,144980.84
la-msa,2020-11-15,pop_black,C000_P_c45_AM_autoN_fareY,146559.22
la-msa,2020-12-20,pop_black,C000_P_c45_AM_autoN_fareY,144943.25
la-msa,2021-01-17,pop_black,C000_P_c45_AM_autoN_fareY,147303.89
la-msa,2021-02-21,pop_black,C000_P_c45_AM_autoN_fareY,124950.72
la-msa,2021-07-11,pop_black,C000_P_c45_AM_autoN_fareY,160132.0
la-msa,2021-09-12,pop_black,C000_P_c45_AM_autoN_fareY,168557.73
la-msa,2020-02-23,pop_hispanic,C000_P_c45_AM_autoN_fareY,129325.72
la-msa,2020-03-15,pop_hispanic,C000_P_c45_AM_autoN_fareY,128396.984
la-msa,2020-04-19,pop_hispanic,C000_P_c45_AM_autoN_fareY,126406.9
la-msa,2020-05-10,pop_hispanic,C000_P_c45_AM_autoN_fareY,127291.16
la-msa,2020-06-21,pop_hispanic,C000_P_c45_AM_autoN_fareY,117487.12
la-msa,2020-07-19,pop_hispanic,C000_P_c45_AM_autoN_fareY,112813.61
la-msa,2020-08-16,pop_hispanic,C000_P_c45_AM_autoN_fareY,124109.12
la-msa,2020-09-20,pop_hispanic,C000_P_c45_AM_autoN_fareY,122673.09
la-msa,2020-10-18,pop_hispanic,C000_P_c45_AM_autoN_fareY,130347.75
